"DATA_SOURCE","LON","LAT","SURVEY_ID","DATE","SEASON","DEPTH","TEMP_BOTTOM","NO_TOW","WEIGHT_TOW","WEIGHT_AVG","TEMP_AIR","SALINITY_BOTTOM","TEMP_SURFACE","SALINITY_SURFACE","LENGTH","NOTES","WEIGHT","AGE","WEIGHT_BAYESIAN"
"MA_DMF",-70.72317,42.70417,"198792","1987-09-11","FALL",17,8.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.19183,41.85633,"198792","1987-09-14","FALL",15,7.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.19183,41.85633,"198792","1987-09-14","FALL",15,7.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.19183,41.85633,"198792","1987-09-14","FALL",15,7.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.58767,42.58417,"198891","1988-05-13","SPRING",50,3.9,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.69883,42.69917,"198892","1988-09-09","FALL",21,10.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.69883,42.69917,"198892","1988-09-09","FALL",21,10.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.637,42.05617,"199092","1990-09-05","FALL",9,17.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.72817,42.6865,"199192","1991-09-07","FALL",7,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.79617,42.773,"199192","1991-09-07","FALL",9,16.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.79617,42.773,"199192","1991-09-07","FALL",9,16.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.12933,41.893,"199192","1991-09-10","FALL",12,17.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.14283,41.90017,"199291","1992-05-09","SPRING",15,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.94183,42.412,"199291","1992-05-11","SPRING",12,NA,1,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.13017,41.20117,"199291","1992-05-16","SPRING",21,8.4,1,4.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.85517,42.28467,"199292","1992-09-10","FALL",9,12.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.60783,41.97833,"199391","1993-05-05","SPRING",9,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.56117,42.713,"199391","1993-05-07","SPRING",77,3.4,1,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.09467,41.94667,"199391","1993-05-10","SPRING",9,9.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.03033,41.58967,"199391","1993-05-14","SPRING",5,11.2,1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.906,42.45217,"199591","1995-05-11","SPRING",16,NA,1,4.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.53833,42.7075,"199592","1995-09-09","FALL",79,8.3,1,5.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.77333,42.76217,"199592","1995-09-09","FALL",17,11.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.77333,42.76217,"199592","1995-09-09","FALL",17,11.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.1975,41.57683,"199891","1998-05-13","SPRING",12,8.6,1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.7715,41.409,"199891","1998-05-15","SPRING",18,10.4,1,4.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.57983,42.59067,"199991","1999-05-14","SPRING",50,4.2,3,14.1,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.57983,42.59067,"199991","1999-05-14","SPRING",50,4.2,3,14.1,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.57983,42.59067,"199991","1999-05-14","SPRING",50,4.2,3,14.1,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.61083,42.73067,"199991","1999-05-14","SPRING",60,4.1,2,9.4,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.61083,42.73067,"199991","1999-05-14","SPRING",60,4.1,2,9.4,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.94683,42.40967,"199992","1999-09-10","FALL",10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.54433,42.64867,"200091","2000-05-12","SPRING",47,6.1,1,4.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.57317,42.696,"200191","2001-05-11","SPRING",47,4.4,1,3.4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.95883,42.41533,"200192","2001-09-07","FALL",6,10.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.81067,42.84317,"200291","2002-05-10","SPRING",7,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.86333,42.29267,"200391","2003-05-07","SPRING",10,7.3,1,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.96233,42.4025,"200392","2003-09-05","FALL",9,12.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.39983,41.278,"200591","2005-05-23","SPRING",8,11.4,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-69.982,41.364,"200591","2005-05-28","SPRING",9,7.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.9555,42.41483,"200792","2007-09-07","FALL",10,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.9555,42.41483,"200792","2007-09-07","FALL",10,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.9555,42.41483,"200792","2007-09-07","FALL",10,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.9555,42.41483,"200792","2007-09-07","FALL",10,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.9555,42.41483,"200792","2007-09-07","FALL",10,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.8625,42.28917,"200992","2009-09-11","FALL",9,17.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.15007,41.41104,"201191","2011-05-19","SPRING",9,10.9,1,0.024,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.51842,42.65332,"201391","2013-05-10","SPRING",82,5.3,1,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.86347,42.28995,"201591","2015-05-06","SPRING",8,7.8,1,0.006,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.72263,42.69911,"201791","2017-05-12","SPRING",15,6.9,1,0.002,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.50961,42.66053,"201792","2017-09-10","FALL",87,6.1,1,0.424,0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.35347,42.0765,"201892","2018-09-16","FALL",58,10,1,0.351,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.24803,42.08796,"201892","2018-09-16","FALL",61,10,3,0.956,0.318666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.24803,42.08796,"201892","2018-09-16","FALL",61,10,3,0.956,0.318666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.24803,42.08796,"201892","2018-09-16","FALL",61,10,3,0.956,0.318666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.36673,42.00803,"201991","2019-05-12","SPRING",49,4.6,1,2.336,2.336,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.71811,42.51587,"202191","2021-05-06","SPRING",46,6.3,1,0.612,0.612,NA,NA,NA,NA,NA,NA,NA,NA,NA
